C_Parameter,Mean_F1_Score(Train),Std_F1_Score(Train),Mean_F1_Score(Test),Std_F1_Score(Test),Rank
5.2,0.6062870777899143,0.008012732031261549,0.5667989939668716,0.029761056000867644,1
5.3,0.6068247591550496,0.00793175579658083,0.5667989939668716,0.029761056000867644,1
5.1,0.6062870777899143,0.008012732031261549,0.5667989939668716,0.029761056000867644,1
5.5,0.6065864167354973,0.00797348510072721,0.565697914857368,0.029538208777367226,4
5.75,0.6065864167354973,0.00797348510072721,0.565697914857368,0.029538208777367226,4
6.0,0.6066606343046781,0.007980629210754398,0.565697914857368,0.029538208777367226,4
4.9,0.6061034141249748,0.008073093728343042,0.5656619372592295,0.028907236204111078,7
4.8,0.6061034141249748,0.008073093728343042,0.5656619372592295,0.028907236204111078,7
5.0,0.6062870777899143,0.008012732031261549,0.5656619372592295,0.028907236204111078,7
5.4,0.6065864167354973,0.00797348510072721,0.5656429169107078,0.03171358947724184,10
4.0,0.6048750351811967,0.009117909908977095,0.5643932921566334,0.029485630257020393,11
